House,Price,County,Room,Approx price per room
"4. Ballyvorisheen West, Carrignavar, Co. Cork",1465, Co. Cork,3 
"5. Worlds End, Kinsale, Co. Cork",1800, Co. Cork,3 
"6. 19 Bendemeer Park, Glasheen, Co. Cork",1690, Co. Cork,3
"7. Kealties, Durrus, Co. Cork",900, Co. Cork,3
"8. Goggins Hill, Ballinhassig, Co. Cork",950, Co. Cork,2 
"9. 1 Bridgetown Drive, Castlemartyr, Castlemartyr, Co. Cork",1200, Co. Cork,3 
"10. Ballydavid, Cloyne, Co. Cork",1300, Co. Cork,4
"11. 29 Pairc na Habhann, Cloyne, Co. Cork",1000, Co. Cork,6 
"12. Ballyduff, Ballymaloe, Cloyne, Co. Cork",850, Co. Cork,2
"13. Coomhola Bridge, Bantry, Co. Cork",1100, Co. Cork,5 
"14. Coolatooder, Ballinhassig, Co. Cork",1200, Co. Cork,2
"15. 21 Manor Court, Mallow, Co. Cork",950, Co. Cork,3
"16. Cloon Cottage, Carrigdownane, Fermoy, Co. Cork",1095, Co. Cork,4 
"17. Coolieragh, Glengarriff, Co. Cork",695, Co. Cork,2
"18. Welwyn Road, Maryborough Woods, Douglas, Co. Cork",1383, Co. Cork,3 
"19. Lake Lawn, Douglas, Co. Cork",1600, Co. Cork,3
"20. Dewberry, Mount Oval Village, Rochestown, Co. Cork",1648, Co. Cork,4 
"1. Armada cottages, Bundoran, Co. Donegal",565, Co. Donegal,3 
"2. Whitethorn Close, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"3. meenahalla, Glenties, Co. Donegal",475, Co. Donegal,4
"4. Lisnenan Court, Letterkenny, Co. Donegal",900, Co. Donegal,4 
"5. 110 Ard O Donnell, Letterkenny, Co. Donegal",650, Co. Donegal,2
"6. 19 Orchard Grove, Ramelton Rd, Letterkenny, Co. Donegal",900, Co. Donegal,5 
"7. Cottage Rahan, Letterkenny, Co. Donegal",480, Co. Donegal,
"8. 9 Fairgreen Park, Letterkenny, Co. Donegal",650, Co. Donegal,4 
"9. 32 Greenfields, Convoy, Co. Donegal",650, Co. Donegal,4 
"10. 11 Gleann Rua, Killylastin, Letterkenny, Co. Donegal",650, Co. Donegal,3 
"11. 65 The Green, Ballymacool, Letterkenny, Co. Donegal",700, Co. Donegal,3 
"12. 81 Cara Bay, Culdaff, Co. Donegal",560, Co. Donegal,2 
"13. 30 Clearwaters, Rathmullan, Co. Donegal",600, Co. Donegal,3 
"14. Fort Royal House, Rathmullan, Co. Donegal",1400, Co. Donegal,4 
"15. Porthall, Lifford, Co. Donegal",550, Co. Donegal,2
"16. 14 St Johns Park, Gransha Road, Buncrana, Co. Donegal",750, Co. Donegal,4 
"17. Altnapaste Mill, Ballybofey, Co. Donegal",1250, Co. Donegal,4 
"18. 25 Brookfield Heights, Letterkenny, Co. Donegal",800, Co. Donegal,3 
"19. 42 Millbrea, Meadows, Ballyloskey, Carndonagh, Co. Donegal",600, Co. Donegal,3 
"20. 21 Churchlands, Manorcunningham, Co. Donegal",650, Co. Donegal,4 
"1. Belarmine Park, Stepaside, Dublin 18",3800, Dublin 18,4 
"2. 99 Inchicore Rd., Kilmainham, Dublin 8",2600, Dublin 8,3
"3. Old Estuary Mill, Malahide, Co. Dublin",3600, Co. Dublin,4 
"4. Seafield Downs, Clontarf, Dublin 3",2500, Dublin 3,2 
"5. Woodside Drive, Rathfarnham, Dublin 14",4750, Dublin 14,6 
"6. 8 The Avenue, Marianella, Rathgar, Dublin 6",5500, Dublin 6,5 
"7. Geraldine Street, Dublin 7",2750, Dublin 7,3
"8. 13 Milltown Avenue, Mount St Annes, Milltown, Dublin 6",2750, Dublin 6,3 
"9. 13a Suir Road, Kilmainham, Dublin 8",2600, Dublin 8,3 
"10. Bushy Park House, Terenure, Dublin 6w",5520, Dublin 6w,5 
"11. Kingstown Mews, Park Lane, Sandycove, Co. Dublin",3750, Co. Dublin,4 
"12. Inglenook Wood, Glenamuck Road, Carrickmines, Dublin 18",3800, Dublin 18,4 
"13. All Hallows Square, Drumcondra, Dublin 3",2500, Dublin 3,3 
"14. Drummartin Terrace, Dundrum, Dublin 14",2400, Dublin 14,2 
"15. Blooms Court, 47A Upper Clanbrassil Street, dublin, Dublin 8",3700, Dublin 8,4 
"16. Foxrock Mount, Foxrock Park, Dublin 18, Foxrock, Dublin 18",3000, Dublin 18,4 
"17. Dunbar, Off Eglington Road, Donnybrook, Donnybrook, Dublin 4",2980, Dublin 4,3 
"18. 41 St. Johns Road, Sandymount, Dublin 4",3490, Dublin 4,3 
"19. Joy Streets, Dublin 4",2500, Dublin 4,2
"20. Abbotts Grove Avenue, Knocklyon, Dublin 16",2300, Dublin 16,3 
"1. 3 Melvin Cottages, Garrison, Co. Fermanagh, BT93 4ER",420480, BT93 4ER,2
"1. Seannareeough, Furbo, Co. Galway",1200, Co. Galway,4 
"2. Doire Uachtair, Furbo, Co. Galway",1750, Co. Galway,5 
"3. Caislean Oir, Athenry, Co. Galway",1150, Co. Galway,4 
"4. An Reilean, Roscam, Co. Galway",2000, Co. Galway,4 
"5. 9 Upper Newcastle Road, Newcastle, Co. Galway",1200, Co. Galway,4 
"6. Bunasilla, Caherlistrane, Caherlistrane, Co. Galway",950, Co. Galway,4 
"7. 75 coill clocha, oranmore, galway, Oranmore, Co. Galway",1650, Co. Galway,5 
